simulation_package/melt/data_generation/outputs/eps_0/rep_001/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=2425700000, last_step=2425700000)
simulation_package/melt/data_generation/outputs/eps_0/rep_001/msd_trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_001/trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_001/virial_tensor_log.gsd: 2999.931948 tau_R^0 (frames=484884, first_step=1105000, last_step=2425650000)
simulation_package/melt/data_generation/outputs/eps_0/rep_002/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=2425700000, last_step=2425700000)
simulation_package/melt/data_generation/outputs/eps_0/rep_002/msd_trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_002/trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_002/virial_tensor_log.gsd: 2999.944321 tau_R^0 (frames=484886, first_step=1105000, last_step=2425660000)
simulation_package/melt/data_generation/outputs/eps_0/rep_003/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=2425700000, last_step=2425700000)
simulation_package/melt/data_generation/outputs/eps_0/rep_003/msd_trajectory.gsd: 2999.752537 tau_R^0 (frames=12128, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_003/trajectory.gsd: 2999.752537 tau_R^0 (frames=12128, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_003/virial_tensor_log.gsd: 2999.950507 tau_R^0 (frames=485059, first_step=1105000, last_step=2425665000)
simulation_package/melt/data_generation/outputs/eps_0/rep_004/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=2425700000, last_step=2425700000)
simulation_package/melt/data_generation/outputs/eps_0/rep_004/msd_trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_004/trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_004/virial_tensor_log.gsd: 2999.913388 tau_R^0 (frames=484887, first_step=1105000, last_step=2425635000)
simulation_package/melt/data_generation/outputs/eps_0/rep_005/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=2425700000, last_step=2425700000)
simulation_package/melt/data_generation/outputs/eps_0/rep_005/msd_trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_005/trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_005/virial_tensor_log.gsd: 2999.931948 tau_R^0 (frames=484892, first_step=1105000, last_step=2425650000)
simulation_package/melt/data_generation/outputs/eps_0/rep_006/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=2425700000, last_step=2425700000)
simulation_package/melt/data_generation/outputs/eps_0/rep_006/msd_trajectory.gsd: 2999.752537 tau_R^0 (frames=12126, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_006/trajectory.gsd: 2999.752537 tau_R^0 (frames=12126, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_006/virial_tensor_log.gsd: 2999.931948 tau_R^0 (frames=485001, first_step=1105000, last_step=2425650000)
simulation_package/melt/data_generation/outputs/eps_0/rep_007/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=2425700000, last_step=2425700000)
simulation_package/melt/data_generation/outputs/eps_0/rep_007/msd_trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_007/trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_007/virial_tensor_log.gsd: 2999.993813 tau_R^0 (frames=484883, first_step=1105000, last_step=2425700000)
simulation_package/melt/data_generation/outputs/eps_0/rep_008/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=2425700000, last_step=2425700000)
simulation_package/melt/data_generation/outputs/eps_0/rep_008/msd_trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_008/trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_008/virial_tensor_log.gsd: 2999.956694 tau_R^0 (frames=484884, first_step=1105000, last_step=2425670000)
simulation_package/melt/data_generation/outputs/eps_0/rep_009/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=2425700000, last_step=2425700000)
simulation_package/melt/data_generation/outputs/eps_0/rep_009/msd_trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_009/trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_009/virial_tensor_log.gsd: 2999.993813 tau_R^0 (frames=484901, first_step=1105000, last_step=2425700000)
simulation_package/melt/data_generation/outputs/eps_0/rep_010/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=2425700000, last_step=2425700000)
simulation_package/melt/data_generation/outputs/eps_0/rep_010/msd_trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_010/trajectory.gsd: 2999.752537 tau_R^0 (frames=12123, first_step=1200000, last_step=2425600000)
simulation_package/melt/data_generation/outputs/eps_0/rep_010/virial_tensor_log.gsd: 2999.931948 tau_R^0 (frames=484884, first_step=1105000, last_step=2425650000)
simulation_package/melt/data_generation/outputs/eps_12/rep_001/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1711200000, last_step=1711200000)
simulation_package/melt/data_generation/outputs/eps_12/rep_001/msd_trajectory.gsd: 2103.934670 tau_R^0 (frames=8503, first_step=11400000, last_step=1711800000)
simulation_package/melt/data_generation/outputs/eps_12/rep_001/trajectory.gsd: 2103.934670 tau_R^0 (frames=8503, first_step=11400000, last_step=1711800000)
simulation_package/melt/data_generation/outputs/eps_12/rep_001/virial_tensor_log.gsd: 2104.194506 tau_R^0 (frames=340104, first_step=11205000, last_step=1711815000)
simulation_package/melt/data_generation/outputs/eps_12/rep_002/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1711200000, last_step=1711200000)
simulation_package/melt/data_generation/outputs/eps_12/rep_002/msd_trajectory.gsd: 2104.182133 tau_R^0 (frames=8504, first_step=11400000, last_step=1712000000)
simulation_package/melt/data_generation/outputs/eps_12/rep_002/trajectory.gsd: 2104.182133 tau_R^0 (frames=8504, first_step=11400000, last_step=1712000000)
simulation_package/melt/data_generation/outputs/eps_12/rep_002/virial_tensor_log.gsd: 2104.460530 tau_R^0 (frames=340145, first_step=11205000, last_step=1712030000)
simulation_package/melt/data_generation/outputs/eps_12/rep_003/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1711200000, last_step=1711200000)
simulation_package/melt/data_generation/outputs/eps_12/rep_003/msd_trajectory.gsd: 2103.439743 tau_R^0 (frames=8501, first_step=11400000, last_step=1711400000)
simulation_package/melt/data_generation/outputs/eps_12/rep_003/trajectory.gsd: 2103.439743 tau_R^0 (frames=8501, first_step=11400000, last_step=1711400000)
simulation_package/melt/data_generation/outputs/eps_12/rep_003/virial_tensor_log.gsd: 2103.656273 tau_R^0 (frames=340004, first_step=11205000, last_step=1711380000)
simulation_package/melt/data_generation/outputs/eps_12/rep_004/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1708200000, last_step=1708200000)
simulation_package/melt/data_generation/outputs/eps_12/rep_004/msd_trajectory.gsd: 2100.470181 tau_R^0 (frames=8489, first_step=11400000, last_step=1709000000)
simulation_package/melt/data_generation/outputs/eps_12/rep_004/trajectory.gsd: 2100.470181 tau_R^0 (frames=8489, first_step=11400000, last_step=1709000000)
simulation_package/melt/data_generation/outputs/eps_12/rep_004/virial_tensor_log.gsd: 2100.835189 tau_R^0 (frames=339549, first_step=11205000, last_step=1709100000)
simulation_package/melt/data_generation/outputs/eps_12/rep_005/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1449200000, last_step=1449200000)
simulation_package/melt/data_generation/outputs/eps_12/rep_005/msd_trajectory.gsd: 1779.015095 tau_R^0 (frames=7193, first_step=11400000, last_step=1449200000)
simulation_package/melt/data_generation/outputs/eps_12/rep_005/trajectory.gsd: 1779.015095 tau_R^0 (frames=7193, first_step=11400000, last_step=1449200000)
simulation_package/melt/data_generation/outputs/eps_12/rep_005/virial_tensor_log.gsd: 1779.293492 tau_R^0 (frames=287749, first_step=11205000, last_step=1449230000)
simulation_package/melt/data_generation/outputs/eps_12/rep_006/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1374200000, last_step=1374200000)
simulation_package/melt/data_generation/outputs/eps_12/rep_006/msd_trajectory.gsd: 1686.958674 tau_R^0 (frames=6819, first_step=11400000, last_step=1374800000)
simulation_package/melt/data_generation/outputs/eps_12/rep_006/trajectory.gsd: 1686.958674 tau_R^0 (frames=6819, first_step=11400000, last_step=1374800000)
simulation_package/melt/data_generation/outputs/eps_12/rep_006/virial_tensor_log.gsd: 1687.212324 tau_R^0 (frames=272773, first_step=11205000, last_step=1374810000)
simulation_package/melt/data_generation/outputs/eps_12/rep_007/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1450200000, last_step=1450200000)
simulation_package/melt/data_generation/outputs/eps_12/rep_007/msd_trajectory.gsd: 1780.994803 tau_R^0 (frames=7201, first_step=11400000, last_step=1450800000)
simulation_package/melt/data_generation/outputs/eps_12/rep_007/trajectory.gsd: 1780.994803 tau_R^0 (frames=7201, first_step=11400000, last_step=1450800000)
simulation_package/melt/data_generation/outputs/eps_12/rep_007/virial_tensor_log.gsd: 1781.217520 tau_R^0 (frames=288051, first_step=11205000, last_step=1450785000)
simulation_package/melt/data_generation/outputs/eps_12/rep_009/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1358200000, last_step=1358200000)
simulation_package/melt/data_generation/outputs/eps_12/rep_009/msd_trajectory.gsd: 1666.419203 tau_R^0 (frames=6738, first_step=11400000, last_step=1358200000)
simulation_package/melt/data_generation/outputs/eps_12/rep_009/trajectory.gsd: 1666.419203 tau_R^0 (frames=6738, first_step=11400000, last_step=1358200000)
simulation_package/melt/data_generation/outputs/eps_12/rep_009/virial_tensor_log.gsd: 1666.734719 tau_R^0 (frames=269521, first_step=11205000, last_step=1358260000)
simulation_package/melt/data_generation/outputs/eps_12/rep_010/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1375200000, last_step=1375200000)
simulation_package/melt/data_generation/outputs/eps_12/rep_010/msd_trajectory.gsd: 1687.453601 tau_R^0 (frames=6823, first_step=11400000, last_step=1375200000)
simulation_package/melt/data_generation/outputs/eps_12/rep_010/trajectory.gsd: 1687.453601 tau_R^0 (frames=6823, first_step=11400000, last_step=1375200000)
simulation_package/melt/data_generation/outputs/eps_12/rep_010/virial_tensor_log.gsd: 1687.855729 tau_R^0 (frames=272946, first_step=11205000, last_step=1375330000)
simulation_package/melt/data_generation/outputs/eps_15/rep_001/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1356200000, last_step=1356200000)
simulation_package/melt/data_generation/outputs/eps_15/rep_001/msd_trajectory.gsd: 1664.934422 tau_R^0 (frames=6730, first_step=11400000, last_step=1357000000)
simulation_package/melt/data_generation/outputs/eps_15/rep_001/trajectory.gsd: 1664.934422 tau_R^0 (frames=6730, first_step=11400000, last_step=1357000000)
simulation_package/melt/data_generation/outputs/eps_15/rep_001/virial_tensor_log.gsd: 1665.305617 tau_R^0 (frames=269231, first_step=11205000, last_step=1357105000)
simulation_package/melt/data_generation/outputs/eps_15/rep_002/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1371200000, last_step=1371200000)
simulation_package/melt/data_generation/outputs/eps_15/rep_002/msd_trajectory.gsd: 1682.504331 tau_R^0 (frames=6800, first_step=11400000, last_step=1371200000)
simulation_package/melt/data_generation/outputs/eps_15/rep_002/trajectory.gsd: 1682.504331 tau_R^0 (frames=6800, first_step=11400000, last_step=1371200000)
simulation_package/melt/data_generation/outputs/eps_15/rep_002/virial_tensor_log.gsd: 1682.875526 tau_R^0 (frames=272034, first_step=11205000, last_step=1371305000)
simulation_package/melt/data_generation/outputs/eps_15/rep_003/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1372200000, last_step=1372200000)
simulation_package/melt/data_generation/outputs/eps_15/rep_003/msd_trajectory.gsd: 1684.236575 tau_R^0 (frames=6811, first_step=11400000, last_step=1372600000)
simulation_package/melt/data_generation/outputs/eps_15/rep_003/trajectory.gsd: 1684.236575 tau_R^0 (frames=6811, first_step=11400000, last_step=1372600000)
simulation_package/melt/data_generation/outputs/eps_15/rep_003/virial_tensor_log.gsd: 1684.651076 tau_R^0 (frames=272453, first_step=11205000, last_step=1372740000)
simulation_package/melt/data_generation/outputs/eps_15/rep_004/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1373200000, last_step=1373200000)
simulation_package/melt/data_generation/outputs/eps_15/rep_004/msd_trajectory.gsd: 1685.473893 tau_R^0 (frames=6813, first_step=11400000, last_step=1373600000)
simulation_package/melt/data_generation/outputs/eps_15/rep_004/trajectory.gsd: 1685.473893 tau_R^0 (frames=6813, first_step=11400000, last_step=1373600000)
simulation_package/melt/data_generation/outputs/eps_15/rep_004/virial_tensor_log.gsd: 1685.925513 tau_R^0 (frames=272545, first_step=11205000, last_step=1373770000)
simulation_package/melt/data_generation/outputs/eps_15/rep_005/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1349200000, last_step=1349200000)
simulation_package/melt/data_generation/outputs/eps_15/rep_005/msd_trajectory.gsd: 1656.273200 tau_R^0 (frames=6697, first_step=11400000, last_step=1350000000)
simulation_package/melt/data_generation/outputs/eps_15/rep_005/trajectory.gsd: 1656.273200 tau_R^0 (frames=6697, first_step=11400000, last_step=1350000000)
simulation_package/melt/data_generation/outputs/eps_15/rep_005/virial_tensor_log.gsd: 1656.526850 tau_R^0 (frames=267890, first_step=11205000, last_step=1350010000)
simulation_package/melt/data_generation/outputs/eps_15/rep_006/checkpoint.gsd: 0.000000 tau_R^0 (frames=1, first_step=1371200000, last_step=1371200000)
